id,title,authors,description,categories,average_rating,ratings_count,published_date,page_count,thumbnail,language,source_query
wRRtPwAACAAJ,The Alibi,Sandra Brown,"After spending the night with a beautiful and mysterious woman, prosecutor Hammond Cross learns that she is in fact the primary suspect in the biggest case of his career. Reissue.",Fiction,,0,2006,583,http://books.google.com/books/content?id=wRRtPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:legal thriller
Zncn0AEACAAJ,Conspiracy of Lies,Richard S. Rachlin,"Set in Miami, the legal thriller Conspiracy of Lies, tells the story of a young lawyer, who in taking on his first drug case unwittingly finds himself in the crosshairs of the CIA and a ruthless federal prosecutor desperate to keep secret their ties to the Santolisma cartel. While Jake's law practice is finally beginning to take off, at home, his marriage is crumbling. He has broken a solemn promise to Elena, his wife, not to defend drug dealers due to her traumatic experiences as a child in her native Colombia. When given the chance to admit what he's done, Jake continues with the lie, again and again. Now with Jake facing imminent arrest and trial, Elena no longer believes in his innocence, and in fear for her safety takes off with the kids. Alone, Jake must now navigate through a judicial system stacked against him, and in some unknowable way regain Elena's love and be reunited with his family.",,,0,2023-09-11,0,http://books.google.com/books/content?id=Zncn0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:legal thriller
zX9gewAACAAJ,The Testament,John Grisham,"An eccentric, reclusive billionaire looking for a way to die. A burnt-out Washington litigator just out of rehab for the fourth time and trying to hold it together. And a woman who left the modern world to live and work with a primitive tribe of indians in the jungles of Brazil.In a novel that mixes legal suspense with a remarkable adventure, they are all brought together by the startling secret of ""The Testament"".",Fiction,,0,1999,435,,en,subject:legal thriller
wHysjwEACAAJ,Cell 7,Kerry Drewery,"A world where justice and the fate of those accused of murder is decided by the public, but has moved on from the Roman Gladiator 'thumbs up or thumbs down' public vote, to a public vote by telephone. If you are voted innocent you are set free; if you are voted guilty you are committed to death by electric chair. Those awaiting their sentence reside in ever decreasing cells, getting smaller each day, until Day 7 and Cell 7, where they hear their fate. Sixteen year old Martha has confessed to killing a famous celebrity. But has she done it? And if not, why has she claimed the murder? Perhaps she wants to show up the flawed and brutal system by sacrificing herself in the hope of a better world... Or perhaps she is protecting somebody else...",Dystopias,,0,2016,0,http://books.google.com/books/content?id=wHysjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:legal thriller
ztBSzwEACAAJ,The Lost Victim,Jennifer Hunter,"A traumatized witness to a serial killer's crimes is the only key to solving them in a gripping novel of psychological suspense. After his sister disappeared, FBI consultant and psychologist Ryan Strickland spent years looking for answers in an investigation gone tragically cold. But in his work, Ryan has built a reputation for getting reluctant victims to speak. A witness has been found who can identify an elusive serial killer whose crimes reach back decades. However, Olivia, the silent and scarred young woman in Ryan's care, isn't telling all. Yet. As a guarded trust develops between her and Ryan, Olivia agrees to return to the nightmare from which she fled--an isolated and abandoned farmhouse on the outskirts of town. Any evidence could lead authorities one step closer to finding the killer...and help fill in the missing pieces of Ryan's own past. But no one is prepared for what they find or for the unspeakable truths revealed in Olivia's darkest memories.",Fiction,,0,2023-05,0,http://books.google.com/books/content?id=ztBSzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:psychological thriller
gWU5jgEACAAJ,Breakdown,Jonathan Kellerman,"Criminal psychologist Dr. Alex Delaware is pushed to his limit like never before in Breakdown by New York Times No.1 bestseller Jonathan Kellerman. Fans of Michael Connelly and Harlan Coben will love this sabre-sharp storytelling from the master of psychological suspense. Dr. Alex Delaware first meets beautiful and emotionally fragile actress Zelda Chase when called upon to evaluate her five-year-old son. Years later, Alex is unexpectedly reunited with Zelda when she is involuntarily committed after a bizarre psychotic episode. But tragedy strikes and shortly after her release, Zelda is discovered dead in the grounds of a palatial L.A. estate. Having experienced more than enough of the city's dark side to recognise the scent of evil, Alex turns to his friend, LAPD Lieutenant Milo Sturgis, for help in finding the perpetrator. Meanwhile, Alex is caught up in another quest: the search for Zelda's missing son. And when other victims vanish from the same upscale neighborhood, worry turns to terror. As Alex struggles to piece together the brief rise and steep fall of a gorgeous, talented actress, he and Milo unveil shattered dreams, the corruption of a family, and a grotesque betrayal of innocence. With each devastating revelation and damning clue, Alex's brilliant mind is challenged as never before - and his determination grows to see a killer caged and the truth set free.",Actresses,,0,2016-02,368,http://books.google.com/books/content?id=gWU5jgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:psychological thriller
drr7mAEACAAJ,Cruel Summer,James Dawson,"A year after the suicide of one of their friends, the rest of the group decide to spend the summer together in a holiday villa in the Mediterranean. They're hoping to get over the terrible events of the previous year, but then a new guest arrives - claiming to have evidence that the suicide was actually murder. When she is found dead, it becomes clear that the killer must be one of them - but who is it? And will they strike again? A compelling psychological thriller - with a dash of romance.",Juvenile Fiction,,0,2013,324,http://books.google.com/books/content?id=drr7mAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:psychological thriller
lKEsyQEACAAJ,The Chain,Adrian McKinty,A parent receives a panicked phone call from a stranger who reveals that both of their children have been kidnapped by someone who demands that they abduct another child to prevent the murders of their own.,FICTION|Thrillers|Crime|,,0,2019,357,http://books.google.com/books/content?id=lKEsyQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:psychological thriller
7KoV0AEACAAJ,Lay Your Body Down,Amy Suiter Clarke,"""Pastor Rick tells us women are created to serve, to be pure, to submit and to be a delight to their husbands. Who are we to deny the very nature our Creator has built within us? When Del Walker fled her small hometown and its cult-like church six years ago, she vowed never to go back. Lars, the love of her life, was about to marry local golden girl Eve, author of a popular blog about the church's 'Noble Wife' teachings. But now Lars is dead, and Del is convinced it couldn't have been an accident. When she returns for the funeral, she discovers the church - and the insidious, patriarchal teachings of Pastor Rick Franklin - has taken over the town. And Eve isn't acting much like a grieving widow. Del is determined to cut through the church's lies and corruption to find out what really happened to Lars - even if it means confronting memories she's spent years trying to bury."" -- Publisher.",Audiobooks,,0,,0,,en,subject:psychological thriller
kAaT4-8dg94C,A Simple Plan,Scott Smith,"When Hank Mitchell, his brother Jacob, and a friend find four million dollars their plan to keep it eventually starts to ruin their lives.",Fiction,,0,2006,416,http://books.google.com/books/content?id=kAaT4-8dg94C&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:psychological thriller
eJIGywEACAAJ,Imaginary Friend,Stephen Chbosky,"Single mother Kate Reese is on the run. Determined to improve life for her and her son, Christopher, she flees an abusive relationship in the middle of the night with Christopher at her side. Together, they find themselves drawn to the tight-knit community of Mill Grove, Pennsylvania. It's as far off the beaten track as they can get. Just one highway in, one highway out. At first, it seems like the perfect place to finally settle down. Then Christopher vanishes. For six awful days, no one can find him. Until Christopher emerges from the woods at the edge of town, unharmed but not unchanged. He returns with a voice in his head only he can hear, with a mission only he can complete: Build a tree house in the woods by Christmas, or his mother and everyone in the town will never be the same again. Soon Kate and Christopher find themselves in the fight of their lives, caught in the middle of a war playing out between good and evil, with their small town as the battleground.",FICTION,,0,2019,705,http://books.google.com/books/content?id=eJIGywEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:psychological thriller
u4t6oAEACAAJ,My Second Life,Faye Bird,"'The first time I was born, I was born Emma Trees. I had everything to live for. But I died. I was twenty-two.' Ana struggles to live a normal life, bombarded by memories of her previous life as Emma. The worst memories are of a little girl who drowned: was Emma responsible? Consumed by guilt, Ana will do anything to uncover the past.",Death,,0,2014,0,http://books.google.com/books/content?id=u4t6oAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:psychological thriller
MCqfzgEACAAJ,All Your Perfects,Colleen Hoover,"Can a love story with a perfect beginning survive a lifetime between two imperfect people? From the bestselling author of It Ends With Us. THEN: The last thing Quinn expected was to meet the love of her life just outside her fiancé's front door. A year after leaving behind their cheating partners, Quinn and Graham are in a perfect relationship that seems designed by fate. NOW: Seven years later, their perfect love is threatened by their imperfect marriage. The memories, mistakes, and dreams that they have built up over the years are tearing them apart. The one thing that could save them might also be the very thing that pushes their marriage past the point of no return. Written with the same emotional depth and keen insight that made Colleen Hoover's It Ends with Us and Ugly Love instant New York Times bestsellers. All Your Perfects is a powerfully moving story about a broken couple whose future hinges on promises made in the past, reminding us that the enduring power of love is the ultimate saviour. Praise for All Your Perfects 'Colleen Hoover returns with an emotionally raw page-turner.' Us Weekly 'Colleen Hoover crafts the unraveling of a marriage with brutal, unflinching honesty. The genius is in how she stitches together the perfect ending. This is one beautiful story.' Tracey Garvis Graves, author of The Girl He Used to Know 'A poignant love story ... With Hoover's evocative style, readers will experience the emotion of this story while sympathising with both Quinn and Graham.' Booklist",,,0,2022-01-05,320,http://books.google.com/books/content?id=MCqfzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:psychological thriller
SnnOEAAAQBAJ,Spy School Project X,Stuart Gibbs,"""Superspy middle schooler Ben Ripley races against time and across state lines - traveling by car, train, boat and plane - to track Murray Hill down before Ben's cyber enemies can find him""--",Juvenile Fiction,,0,2023-08-29,384,http://books.google.com/books/content?id=SnnOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:spy fiction
Ew7zEAAAQBAJ,Evil Spy School the Graphic Novel,Stuart Gibbs,"After being expelled from spy school, twelve-year-old Ben Ripley accepts an offter to join evil crime organization SPYDER, and although he knows he is a key part of their sinister plan he is not sure how to get word to the good guys without being caught.",Juvenile Fiction,,0,2024-03-05,368,http://books.google.com/books/content?id=Ew7zEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:spy fiction
7fBNswEACAAJ,The Spy who Loved Me,Ian Fleming,"Vivienne Michel is in trouble. Trying to escape her tangled past, she has run away to the American backwoods, winding up at the Dreamy Pines Motor Court. A far cry from the privileged world she was born to, the motel is also the destination of two hardened killers - the perverse Sol Horror and the deadly Sluggsy Morant. When a coolly charismatic Englishman turns up, Viv, in terrible danger, is not just hopeful, but fascinated. Because he is James Bond, 007; the man she hopes will save her, the spy she hopes will love her . . .",Adirondack Mountains (N.Y.),,0,2002,197,http://books.google.com/books/content?id=7fBNswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:spy fiction
UnqangEACAAJ,Blowback,Valerie Plame|Valerie Plame Wilson|Sarah Lovett,"CIA ops officer Vanessa Pierson is close to capturing Bhoot, an international nuclear arms dealer. Her informant has information about Bhoot's upcoming visit to a secret underground nuclear weapons facility in Iran. But just as she is about to get the location, the informant is killed. Desperate to stop Bhoot, she enlists all of the Agency's resources in a manhunt.",CIA,,0,2013,0,http://books.google.com/books/content?id=UnqangEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:spy fiction
PH47PgAACAAJ,Casino Royale,Ian Fleming,"Introducing James Bond, this title finds Bond on a mission to neutralize a lethal, high-rolling Russian operative called simply The Cypher by ruining him at the Baccarat table and forcing his Soviet spymasters to retire him. Bond's attraction to a beautiful female agent leads him to disaster and an unexpected saviour.",British,4,1,2006,0,http://books.google.com/books/content?id=PH47PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:spy fiction
SnnOEAAAQBAJ,Spy School Project X,Stuart Gibbs,"""Superspy middle schooler Ben Ripley races against time and across state lines - traveling by car, train, boat and plane - to track Murray Hill down before Ben's cyber enemies can find him""--",Juvenile Fiction,,0,2023-08-29,384,http://books.google.com/books/content?id=SnnOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:spy fiction
hQaoyehtkBgC,The Holocaust of Texts,Amy Hungerford,"""Examines the implications of conflating texts with people in a broad range of texts: Art Spiegelman's Maus, Ray Bradbury's Fahrenheit 451, the poetry of Sylvia Plath, Binjamin Wilkomirski's fake Holocaust memoir Fragments, and the fiction of Saul Bellow, Philip Roth, and Don Delillo.""--Jacket.",History,,0,2003-01-15,216,http://books.google.com/books/content?id=hQaoyehtkBgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:war fiction
GXQ8DwAAQBAJ,Mirrors of Destruction,Omer Bartov,He then examines the pacifist reaction in interwar France to show how it contributed to a climate of collaboration with dictatorship and mass murder.,History,,0,2000,313,http://books.google.com/books/content?id=GXQ8DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:war fiction
uXwj45tyiJMC,Misguided Weapons,Azriel Lorber,"Technological failure results when one side in a conflict does not fully grasp the potential impact of known, or even familiar, weapons in the enemyas hands. In most cases, such failure resulted from higher officialsa ignorance or their total misunderstanding of the importance and relevance of such technology and science as well as of their application to warfare. Technological failure is also the root cause of technological surprise. While operational surprise on the battlefield poses grave problems, technological surprise is far more serious, because, as Azriel Lorber explains, it often leads to disasters on the battlefield and is more difficult to recover from. In too many cases, technological failure and surprise stem from all-too-human characteristics, such as self-satisfaction, disdain for the adversary, obtuseness, and conservatism. Because these traits show no evidence of disappearing, political decision makers and military commanders should be aware that technological failure and technological surprise could happen at any time.""",History,,0,2002,311,http://books.google.com/books/content?id=uXwj45tyiJMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:war fiction
Js-oxRiRoQkC,"Cultural Norms, War and the Environment",Arthur H. Westing,"The present volume is an outgrowth of a select symposium convened by the Stockholm International Peace Research Institute (SIPRI) in co-operation with the United Nations Environment Programme (UNEP) in Stockholm, 15-18 March 1987.",Language Arts & Disciplines,,0,1988,204,http://books.google.com/books/content?id=Js-oxRiRoQkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:war fiction
kqFjDwAAQBAJ,A Room of One's Own + Three Guineas (2 extended essays),Virginia Woolf,"This carefully crafted ebook: ""A Room of One's Own + Three Guineas (2 extended essays)"" is formatted for your eReader with a functional and detailed table of contents. This volume combines two books which were among the greatest contributions to feminist literature this century. Together they form a brilliant attack on sexual inequality and a passionate polemic which draws a startling comparison between the tyrannous hypocrisy of the Victorian patriarchal system and the evils of fascism. Virginia Woolf makes the connection between war and the economy and a woman's role (or lack there of) in both. A Room of One's Own, first published in 1929, is a witty, urbane and persuasive argument against the intellectual subjection of women, particularly women writers. The sequel, Three Guineas, is a passionate polemic which draws a startling comparison between the tyrannous hypocrisy of the Victorian patriarchal system and the evils of fascism.",Literary Collections,,0,2013-05-01,330,http://books.google.com/books/content?id=kqFjDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:war fiction
ZudcBgAAQBAJ,A Room of One's Own and Three Guineas,Virginia Woolf,This volume combines two books by Virginia Woolf which are among the greatest contributions to feminist literature this century. They consider the implications of the historical exclusion of women from education and from economic independence.,Literary Collections,,0,2015,353,http://books.google.com/books/content?id=ZudcBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:war fiction
1UcNrwqM6T8C,Easter at Tobruk,Michael O'Sullivan,"In Easter at Tobruk Christianity and war collide in an Australian context. In this context the novel explores changing values in our society since the Second World War. The narrative focuses on two Easters, that of 1941 when Australian troops entered Tobruk in North Africa, and another fifty years later. The events leading up to and including the Easter battle are historically accurate, but all the characters are fictitious. 'An enticing work peppered with a glistening sense of magic realism, O'Sullivan's novel paints lush, dimensional scenes with literary brushstrokes. Living, breathing characters crafted by archetypal essences of poet, priest, good mother and old soldier propel a storyline supported by the strong themes of war, freedom, mateship and a kind of reconciliation that transcends time and place. Easter in Tobruk quite literally bends the passage of time.' - IP Picks 2006 Judges' Report",Fiction,,0,2007,216,http://books.google.com/books/content?id=1UcNrwqM6T8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:war fiction
juqoDwAAQBAJ,The Fight for Kidsboro,Marshal Younger,"As mayor of Kidsboro, Ryan Cummings faces losing his office, a war against Max Darby's Bettertown, an economic crisis, the threat that a dangerous secret will be revealed, and citizens' concerns about taxes and the services they provide.",Juvenile Fiction,,0,2011,321,http://books.google.com/books/content?id=juqoDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:war fiction
VPYfAQAAIAAJ,The Man who Rocked the Earth,Arthur Train|Robert Williams Wood,"A mysterious scientist known only as ""Pax"" uses electricity to cause catastrophic events and demands that humanity give up war or face destruction.",Fiction,,0,1975,248,http://books.google.com/books/content?id=VPYfAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:war fiction
6W9lAAAAMAAJ,Arms and the Self,Alex Vernon,"This thought-provoking collection adds significantly to the critical canon of military autobiography. With a helpful introduction and an extensive bibliography, Arms and the Self is an excellent tool for those interested in the literature of war and autobiographical writing.",Biography & Autobiography,,0,2005,324,http://books.google.com/books/content?id=6W9lAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:war fiction
bG-z_XjCtQYC,"The Great, Great, Great Chicken War",David De la Garza,"The Great, Great, Great Chicken War is a richly drawn tale of conflict begun by those who are too afraid, or chicken, to address why they are fighting in the first place. Fully illustrated by David de la Garza when he was five years old and watercolored by his mother, Joyce Rosner, The Great, Great, Great Chicken War presents a child's interpretation of how silly people can be when they fight. The book is designed to help parents begin a conversation about conflict with their children. A portion of the book's profits will be donated to a charity for children who are victims of war or disaster.",Juvenile Fiction,,0,2007,56,http://books.google.com/books/content?id=bG-z_XjCtQYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:war fiction
ZqxPAAAAMAAJ,Tamáss,Fundació Antoni Tàpies,"""Publication éditée à l'occasion produit par la Fundació Antoni Tàpies, Barcelone en association avec le Witte de With, Rotterdam ; l'Universidad Internacional de Andalucía (UNIA) ; Arteleku, San Sebastián et l'Akademie Schloss Solitude, Suttgart. Donner la parole, offrir une visibilité aux artistes et aux intellectuels moyen-orientaux qui développent une culture critique, contemporaine et expérimentale, tel est le coeur de la démarche. Un projet à long terme qui inclut les présentations de travaux d'artistes de disciplines différentes (arts plastiques, architecture, littérature, pensée, cinéma) ainsi que des séminaires, performances et publications. La manifestation s'est déroulée du 3 mai au 14 juillet 2002 à la Fundació Antoni Tàpies, Barcelone.",Arab countries,,0,2002,180,http://books.google.com/books/content?id=ZqxPAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:war fiction
fJtmAAAAMAAJ,Narratives of Remembrance,Marianne Børch,"The past, we know, informs us. Its texture has been just as real to its time as we feel the present to be for us. And yet, despite its immense importance for establishing and understanding our identity, the reality of the past is curiously inaccessible. This book assembles seven specialists from the fields of history, cultural studies and literature and allows them to debate, in some cases vigorously, the issues of truth and fiction raised by attempts to recreate the past. The debate highlights the formal mechanisms, the imaginative transformations, the ideological commitments whereby history is constructed.",Biography & Autobiography,,0,2001,152,http://books.google.com/books/content?id=fJtmAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:war fiction
FOyjfQWhvvcC,Shame and Humiliation,Blema S. Steinberg,"Blema Steinberg adopts a psychoanalytical approach in her examination of the decision making of Lyndon Johnson, Richard Nixon, and Dwight Eisenhower during the Vietnam War. She argues that personality traits, such as narcissism, influenced critical decisions they made about U.S. intervention in Vietnam.",History,,0,1996,412,http://books.google.com/books/content?id=FOyjfQWhvvcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:post apocalyptic
n9I0AQAAIAAJ,Time Travel,John W. Macvey,Explains the types of time travel that are scientifically credible from time dilation to the passage through a black hole/white hole bridge. Also discusses the dilemmas imposed by logic.,Science,,0,1990,210,http://books.google.com/books/content?id=n9I0AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:time travel
x3-mM-tXnRwC,"Time, Innovation and Mobilities",Peter Frank Peters,"By analyzing historic and contextualized transit practices and case studies of travel in technological cultures, car travel, air travel, and cycling in Dutch towns, this book argues that travel cannot simply be reduced to getting from A to B.",History,,0,2006,252,http://books.google.com/books/content?id=x3-mM-tXnRwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:time travel
muoM9H8Z8o8C,Time,Katinka Ridderbos,"Eight essays discussing the nature of time, ideal for the general reader.",Philosophy,,0,2002-05-16,200,http://books.google.com/books/content?id=muoM9H8Z8o8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:time travel
HKCzgF_Pu3AC,Time's Arrows Today,Steven F. Savitt|Steven Frederick Savitt,"While experience tells us that time flows from the past to the present and into the future, a number of philosophical and physical objections exist to this commonsense view of dynamic time. In an attempt to make sense of this conundrum, philosophers and physicists are forced to confront fascinating questions, such as: Can effects precede causes? Can one travel in time? Can the expansion of the Universe or the process of measurement in quantum mechanics define a direction in time? In this book, researchers from both physics and philosophy attempt to answer these issues in an interesting, yet rigorous way. This fascinating book will be of interest to physicists and philosophers of science and educated general readers interested in the direction of time.",Science,,0,1997-06-13,348,http://books.google.com/books/content?id=HKCzgF_Pu3AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:time travel
CA8QAAAAIAAJ,Uniform Time Legislation,United States. Congress. Senate. Committee on Commerce,"Committee Serial No. 13. Considers S. 1033 and S. 1195, to establish a uniform system of time standards and measurement for the U.S. and to require the observance of such time standards for all purposes; and S. 1394, to establish daylight saving time uniformly throughout the U.S. during the months of June, July, and August of each year.",Daylight saving,,0,1963,122,http://books.google.com/books/content?id=CA8QAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:time travel
bGJPAFPj-bEC,"Mind, Meaning, and Reality",D. H. Mellor,"Mind, Meaning, and Reality presents fifteen philosophical papers in which D. H. Mellor explores some of the most intriguing questions in philosophy. These include: what determines what we think, and what we use language to mean; how that depends on what there is in the world and why there is only one universe; and the nature of time.",Language Arts & Disciplines,,0,2012-08-30,247,http://books.google.com/books/content?id=bGJPAFPj-bEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:time travel
T9l522cuUQQC,Time and Causation,Michael Tooley,"First published in 1999. Routledge is an imprint of Taylor & Francis, an informa company.",Philosophy,,0,1999,408,http://books.google.com/books/content?id=T9l522cuUQQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:time travel
Kx4RAQAAMAAJ,The Philosophy of Time,L. Nathan Oaklander,"The Philosophy of Time is a new title in the Routledge series, Critical Concepts in Philosophy. It meets the need for an authoritative reference work to make sense of the subject's vast literature and the continuing explosion in research output. Edited by L. Nathan Oaklander, a leading scholar in the philosophy of time, this new Major Work from Routledge brings together in four volumes the canonical and the very best cutting-edge scholarship in the field to provide a synoptic view of all the key issues and current debates.",Philosophy,,0,2008,462,http://books.google.com/books/content?id=Kx4RAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:time travel
o_XgqtHIiLcC,Time Journeys,Paul Halpern,"Is time an endlessly repeating circle, or is it a descending path leading to decay and destruction? Is it a uniform stream, or is it made of tiny discrete parcels? Drawing from literature, biology, philosophy, psychology, and theology, this intriguing work explores each of these possible models and relates them to our own subjective impressions of time. Theoretical physicists are now striving to unlock the very structure of time itself. But the quest to understand time has never been the exclusive domain of science. From the Hindu notion of cosmic rebirth to Stephen Hawking's recent studies, philosophers and scientists alike have sought to answer time's riddle. Here is the first accessible, math-free introduction to the competing models of time that demonstrates how today's theories mirror ancient debates over the ""shape"" of time. This book explores such provocative concepts as synchronicity, time travel, black holes, and artificial intelligence. It probes the ultimate questions of science and philosophy, surveys the frontiers of theoretical physics, and finally, demonstrates how our own personal views on mortality must affect our choice of a scientific model of time.",Science,,0,1990,180,http://books.google.com/books/content?id=o_XgqtHIiLcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:time travel
1nh-rgEACAAJ,A Time Travel Dialogue,John W. Carroll|Open Book Publishers,"""Is time travel just a confusing plot device deployed by science fiction authors and Hollywood filmmakers to amaze and amuse? Or might empirical data prompt a scientific hypothesis of time travel? Structured on a fascinating dialogue involving a distinguished physicist, Dr. Rufus, a physics graduate student and a computer scientist this book probes an experimentally supported hypothesis of backwards time travel - and in so doing addresses key metaphysical issues, such as causation, identity over time and free will. The setting is the Jefferson National Laboratory during a period of five days in 2010. Dr. Rufus's experimental search for the psi-lepton and the resulting intractable data spurs the discussion on time travel. She and her two colleagues are pushed by their observations to address the grandfather paradox and other puzzles about backwards causation, with attention also given to causal loops, multi-dimensional time, and the prospect that only the present exists. Sensible solutions to the main puzzles emerge, ultimately advancing the case for time travel really being possible. A Time Travel Dialogue addresses the possibility of time travel, approaching familiar paradoxes in a rigorous, engaging, and fun manner. It follows in the long philosophical tradition of using dialogue to present philosophical ideas and arguments, but is ground breaking in its use of the dialogue format to introduce readers to the metaphysics of time travel, and is also distinctive in its use of lab results to drive philosophical analysis. The discussion of data that might decide whether time is one-dimensional (one timeline) or multi-dimensional (branching time) is especially novel.""--Publisher's website.",Metaphysics,,0,2014,83,,en,subject:time travel
xZUgAQAAIAAJ,Time Machine,Bernard Walton,"In this groundbreaking book, Bernard Walton takes us on a journey back through time to explore the unique aspects of our planet. He brings to life the fast, dramatic events and slow but forceful shifts that have shaped the world we know today. By turning centuries into seconds, we see how continents broke apart and collided to create mountain ranges and rifts. We travel back in time to watch the cause and effect of advancing glaciers, devastating earthquakes, and violent volcanic eruptions. From the earliest life forms to the species that have survived mass extinctions, we explore the evolutionary history of living things and discover how they have shaped entire landscapes. Computer graphics and time-lapse images show how the Earth and its life forms have changed over millions of years.",Nature,,0,2004,176,http://books.google.com/books/content?id=xZUgAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:time travel
1e8kAQAAMAAJ,Gödel Meets Einstein,Palle Yourgrau,"What happens when the century's greatest logician meets the century's greatest physicist? In the case of Kurt Godel and Albert Einstein, the result is Godel's revolutionary new world models for relativity theoryAlthough most famous for his Incompleteness Theorems in mathematical logic, Godel was a philosopher in his own right, with a special interest in the philosophical problem of Time.Most people are unaware that Godel and Einstein were close friends for many years at Princeton's Institute for Advanced Study. Godel extended Einstein's General Theory of Relativity with cosmological models-now known as Godel Universes""-with extraordinary properties, including the possibility of closed, timelike curves that allow the philosophical fantasy of time travel to become a scientific reality.For Godel, however, the reality of time travel signals the unreality of time. If he's right, the real meaning of the Einstein revolution remained a secret for half a century and is only being revealed now. """,Biography & Autobiography,,0,1999,284,http://books.google.com/books/content?id=1e8kAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:time travel
9XluAAAAMAAJ,Politics of Time,Prathama Banerjee,"Through its overall vision, arguments, suggestive insights and the wide variety of materials it presents, this book rethinks persuasive understadings of history, history writing, modernity, colonialism, and the ""primitives.""",History,,0,2006,292,http://books.google.com/books/content?id=9XluAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:time travel
MKF8zQEACAAJ,Veil,Eliot Peper,Someone has hijacked the climate in this character-driven speculative thriller set in a near-future shaped by geoengineering. Veil grapples with the power and consequences of technology and what it means to find a renewed sense of agency in a world spinning out of control.,Fiction,,0,2020-05-20,272,http://books.google.com/books/content?id=MKF8zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:climate fiction
aAQ9sZZ9PwsC,L'homme face au climat,Collège de France. Symposium annuel|Edouard Bard,"Vingt scientifiques appartenant à toutes les disciplines, de la biologie à l'histoire, se sont réunis pour dresser l'état de nos connaissances sur le climat et ses interactions avec la vie des hommes.",Bioclimatology,5,1,2006,452,http://books.google.com/books/content?id=aAQ9sZZ9PwsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,subject:climate fiction
